post_id,fact_check_id
2228,33
2228,23568
2228,194577
2229,33
2229,23568
2229,194577
6088,33
6088,23568
6088,194577
21033,33
21033,23568
21033,194577
3858,156
17393,156
17397,156
3768,214
3003,263
3003,13530
3003,146984
2303,263
2303,13530
2303,146984
5013,354
5013,66349
6843,354
6843,66349
20650,354
20650,66349
14457,354
14457,66349
27179,354
27179,66349
15091,354
15091,66349
10820,354
10820,66349
2986,354
2986,66349
22399,371
22399,107487
22403,371
22403,107487
22404,371
22404,107487
4876,375
4876,118701
5067,376
5067,11828
5067,109912
15078,376
15078,11828
15078,109912
10187,406
10187,111106
5131,433
5131,1501
5131,47014
5131,47042
294,433
294,1501
294,47014
294,47042
381,433
381,1501
381,47014
381,47042
5668,535
5668,12762
5668,102478
736,968
736,49925
8199,968
8199,49925
27280,968
27280,49925
2246,969
17986,969
14979,988
14979,11765
14979,124675
4897,988
4897,11765
4897,124675
13644,1032
14098,1032
15915,1032
2770,1133
7320,1136
7320,147714
19786,1136
19786,147714
19785,1136
19785,147714
5632,1231
7617,1236
4579,1236
10241,1298
10241,39886
10241,88079
10268,1339
10268,88265
9133,1570
9133,123651
9133,123652
1008,1941
1008,131402
28004,1941
28004,131402
2313,1956
20597,1956
4939,2005
4939,53565
4939,59343
4940,2005
4940,53565
4940,59343
4938,2005
4938,53565
4938,59343
19317,2024
19317,61168
3031,2040
3031,136646
21922,2066
21922,62543
21922,116487
1118,2170
8506,2204
8506,65765
8507,2204
8507,65765
15614,2278
15614,96514
15614,110733
4148,2278
4148,96514
4148,110733
27107,2287
27107,45894
27107,96429
18463,2287
18463,45894
18463,96429
20767,2413
20767,43572
20767,111590
14844,2413
14844,43572
14844,111590
27862,2413
27862,43572
27862,111590
5833,2413
5833,43572
5833,111590
2367,2629
2367,98543
19502,3057
19502,75532
19502,75533
19502,197220
12522,3057
12522,75532
12522,75533
12522,197220
6631,3057
6631,75532
6631,75533
6631,197220
21201,3130
21201,10927
21201,102574
6573,3130
6573,10927
6573,102574
16683,3236
9843,3246
13469,3246
13502,3246
13564,3271
15394,3327
15394,62626
25867,3332
25867,51854
12430,3332
12430,51854
11,3332
11,51854
13977,3351
21011,3493
21011,88107
21011,136005
18902,3493
18902,88107
18902,136005
11618,3493
11618,88107
11618,136005
5412,3694
5412,147561
12546,3721
12546,92155
4857,3721
4857,92155
6230,3721
6230,92155
28,3857
29,3857
30,3857
5591,3857
1547,3889
2906,3889
9637,3889
15311,3889
15312,3889
15313,3889
25590,3889
25633,3889
15387,3943
15387,35907
15387,108580
14917,3943
14917,35907
14917,108580
1770,3999
1771,3999
2365,3999
3246,3999
15470,3999
16951,4095
20216,4118
20216,53917
17233,4118
17233,53917
744,4118
744,53917
18913,4355
10440,4388
4533,4404
27749,4404
231,4437
231,41013
19334,4437
19334,41013
21617,4437
21617,41013
4559,4437
4559,41013
16045,4439
16045,66314
5034,4536
